,fandom,count,type,href
196,Inazuma Eleven/イナズマイレブン,6800,anime,/anime/Inazuma-Eleven-%E3%82%A4%E3%83%8A%E3%82%BA%E3%83%9E%E3%82%A4%E3%83%AC%E3%83%96%E3%83%B3/
197,Big Bang Theory,6700,tv,/tv/Big-Bang-Theory/
198,Phineas and Ferb,6700,cartoon,/cartoon/Phineas-and-Ferb/
199,Fate/stay night,6700,anime,/anime/Fate-stay-night/
200,Dark Angel,6600,tv,/tv/Dark-Angel/
201,NCIS: Los Angeles,6600,tv,/tv/NCIS-Los-Angeles/
202,Weiss Kreuz,6600,anime,/anime/Weiss-Kreuz/
203,CSI: Miami,6500,tv,/tv/CSI-Miami/
204,Heroes,6500,tv,/tv/Heroes/
205,Camp Rock,6500,movie,/movie/Camp-Rock/
206,Wicked,6400,play,/play/Wicked/
207,Hey Arnold,6400,cartoon,/cartoon/Hey-Arnold/
208,Tokyo Mew Mew,6300,anime,/anime/Tokyo-Mew-Mew/
209,Yuri!!! on Ice,6300,anime,/anime/Yuri-on-Ice/
210,O.C.,6300,tv,/tv/O-C/
211,Inheritance Cycle,6300,book,/book/Inheritance-Cycle/
212,Star Wars,6200,game,/game/Star-Wars/
213,Winx Club,6200,cartoon,/cartoon/Winx-Club/
214,Tales of Symphonia,6200,game,/game/Tales-of-Symphonia/
215,Het Huis Anubis/House of Anubis,6100,tv,/tv/Het-Huis-Anubis-House-of-Anubis/
216,Devil May Cry,6000,game,/game/Devil-May-Cry/
217,Silmarillion,5900,book,/book/Silmarillion/
218,Ninjago,5900,cartoon,/cartoon/Ninjago/
219,Supergirl,5700,tv,/tv/Supergirl/
220,Zootopia,5700,movie,/movie/Zootopia/
221,Final Fantasy X,5600,game,/game/Final-Fantasy-X/
222,Star Wars: The Clone Wars,5600,cartoon,/cartoon/Star-Wars-The-Clone-Wars/
223,West Wing,5600,tv,/tv/West-Wing/
224,Artemis Fowl,5500,book,/book/Artemis-Fowl/
225,Friends,5500,tv,/tv/Friends/
226,Codename: Kids Next Door,5400,cartoon,/cartoon/Codename-Kids-Next-Door/
227,Fairy Tales,5400,book,/book/Fairy-Tales/
228,ER,5400,tv,/tv/ER/
229,Battlestar Galactica: 2003,5400,tv,/tv/Battlestar-Galactica-2003/
230,Warhammer,5300,game,/game/Warhammer/
231,Thunderbirds,5300,tv,/tv/Thunderbirds/
232,Teenage Mutant Ninja Turtles,5300,cartoon,/cartoon/Teenage-Mutant-Ninja-Turtles/
233,JAG,5300,tv,/tv/JAG/
234,Pride and Prejudice,5300,book,/book/Pride-and-Prejudice/
235,C.I.D.,5200,tv,/tv/C-I-D/
236,Mythology,5200,misc,/misc/Mythology/
237,Gintama,5200,anime,/anime/Gintama/
238,Janet Evanovich,5200,book,/book/Janet-Evanovich/
239,Animorphs,5200,book,/book/Animorphs/
